positive,neutral,negative
0.616,0.378,0.006
0.867,0.129,0.004
0.538,0.454,0.009
0.824,0.174,0.002
0.856,0.141,0.003
0.962,0.034,0.004
0.674,0.319,0.007
0.938,0.06,0.002
0.615,0.376,0.008
0.938,0.059,0.003
0.877,0.12,0.002
0.801,0.195,0.004
0.97,0.027,0.003
0.952,0.046,0.002
0.976,0.022,0.002
0.651,0.346,0.003
0.885,0.111,0.004
0.716,0.281,0.004
0.956,0.041,0.002
0.806,0.19,0.004
0.928,0.068,0.004
0.941,0.056,0.002
0.938,0.06,0.003
0.584,0.411,0.005
0.853,0.143,0.004
0.775,0.222,0.003
0.897,0.1,0.003
0.946,0.051,0.003
0.497,0.496,0.007
0.777,0.22,0.003
0.975,0.023,0.002
0.888,0.109,0.003
0.926,0.071,0.003
0.924,0.074,0.002
0.957,0.041,0.002
0.807,0.19,0.003
0.947,0.051,0.002
0.335,0.655,0.01
0.929,0.069,0.002
0.904,0.091,0.005
0.926,0.07,0.004
0.816,0.181,0.003
0.791,0.204,0.005
0.446,0.55,0.004
0.971,0.027,0.002
0.958,0.04,0.002
0.925,0.073,0.002
0.32,0.674,0.005
0.901,0.097,0.002
0.953,0.045,0.002
0.74,0.253,0.007
0.266,0.729,0.005
0.72,0.275,0.004
0.854,0.143,0.003
0.913,0.083,0.003
0.146,0.762,0.092
0.604,0.391,0.006
0.731,0.266,0.003
0.923,0.075,0.003
0.971,0.027,0.002
0.948,0.049,0.003
0.951,0.045,0.004
0.093,0.9,0.006
0.938,0.059,0.003
0.937,0.062,0.002
0.975,0.024,0.001
0.973,0.025,0.002
0.91,0.087,0.003
0.934,0.063,0.003
0.93,0.067,0.003
0.971,0.027,0.002
0.866,0.129,0.005
0.941,0.057,0.002
0.815,0.182,0.003
0.86,0.136,0.004
0.788,0.209,0.003
0.859,0.138,0.003
0.873,0.122,0.006
0.956,0.042,0.002
0.96,0.037,0.002
0.833,0.164,0.003
0.948,0.05,0.003
0.873,0.124,0.003
0.934,0.063,0.003
0.875,0.121,0.004
0.799,0.183,0.018
0.955,0.044,0.001
0.923,0.075,0.002
0.569,0.424,0.007
0.873,0.123,0.004
0.805,0.19,0.004
0.841,0.155,0.004
0.059,0.866,0.075
0.837,0.157,0.006
0.898,0.098,0.004
0.957,0.04,0.003
0.883,0.114,0.003
0.981,0.017,0.002
0.833,0.164,0.003
0.903,0.095,0.002
0.639,0.357,0.004
0.662,0.335,0.003
0.93,0.068,0.002
0.96,0.038,0.003
0.208,0.783,0.008
0.789,0.208,0.003
0.986,0.012,0.002
0.913,0.085,0.003
0.942,0.056,0.002
0.94,0.058,0.002
0.572,0.421,0.007
0.887,0.11,0.002
0.851,0.146,0.003
0.899,0.096,0.005
0.636,0.359,0.005
0.965,0.033,0.002
0.926,0.07,0.003
0.433,0.561,0.006
0.415,0.58,0.004
0.675,0.321,0.003
0.911,0.087,0.002
0.912,0.085,0.002
0.977,0.021,0.002
0.965,0.033,0.002
0.934,0.062,0.003
0.978,0.02,0.002
0.966,0.032,0.002
0.519,0.473,0.008
0.945,0.052,0.002
0.655,0.338,0.007
0.97,0.027,0.002
0.891,0.104,0.005
0.975,0.023,0.002
0.678,0.316,0.005
0.883,0.113,0.004
0.91,0.087,0.003
0.674,0.322,0.005
0.59,0.406,0.004
0.815,0.183,0.003
0.953,0.046,0.002
0.509,0.484,0.007
0.809,0.188,0.003
0.928,0.068,0.003
0.851,0.146,0.003
0.936,0.062,0.002
0.866,0.132,0.002
0.51,0.485,0.005
0.939,0.059,0.002
0.942,0.056,0.002
0.761,0.233,0.007
0.269,0.726,0.005
0.579,0.417,0.003
0.956,0.04,0.003
0.949,0.049,0.003
0.166,0.808,0.026
0.964,0.034,0.002
0.897,0.1,0.003
0.954,0.044,0.002
0.813,0.184,0.003
0.977,0.019,0.003
0.867,0.131,0.002
0.738,0.257,0.005
0.857,0.139,0.004
0.972,0.026,0.002
0.832,0.165,0.003
0.562,0.432,0.006
0.875,0.122,0.003
0.947,0.051,0.003
0.535,0.461,0.005
0.955,0.043,0.002
0.535,0.461,0.005
0.953,0.044,0.002
0.654,0.342,0.003
0.973,0.026,0.002
0.775,0.222,0.003
0.884,0.11,0.006
0.887,0.111,0.003
0.926,0.072,0.002
0.976,0.021,0.002
0.912,0.086,0.002
0.456,0.54,0.005
0.973,0.024,0.003
0.941,0.056,0.003
0.47,0.523,0.007
0.844,0.153,0.003
0.807,0.189,0.004
0.963,0.035,0.003
0.96,0.035,0.005
0.973,0.025,0.002
0.916,0.081,0.003
0.952,0.045,0.003
0.955,0.043,0.002
0.705,0.292,0.003
0.947,0.051,0.002
0.912,0.085,0.003
0.938,0.06,0.003
0.932,0.066,0.002
0.154,0.744,0.102
0.958,0.039,0.002
0.944,0.052,0.004
0.896,0.101,0.003
0.973,0.025,0.002
0.892,0.105,0.003
0.91,0.086,0.004
0.956,0.042,0.002
0.958,0.04,0.002
0.267,0.73,0.003
0.808,0.19,0.002
0.942,0.055,0.002
0.899,0.098,0.003
0.96,0.037,0.003
0.965,0.033,0.003
0.957,0.041,0.002
0.882,0.115,0.004
0.79,0.207,0.003
0.716,0.28,0.004
0.978,0.02,0.003
0.967,0.03,0.003
0.656,0.339,0.005
0.94,0.057,0.003
0.967,0.03,0.002
0.942,0.054,0.004
0.534,0.462,0.004
0.89,0.106,0.004
0.908,0.088,0.004
0.926,0.071,0.003
0.896,0.101,0.003
0.875,0.122,0.003
0.959,0.039,0.002
0.684,0.309,0.006
0.706,0.289,0.005
0.965,0.032,0.003
0.819,0.178,0.003
0.966,0.031,0.003
0.32,0.675,0.005
0.735,0.262,0.004
0.901,0.097,0.002
0.854,0.142,0.003
0.717,0.279,0.004
0.963,0.034,0.003
0.978,0.019,0.003
0.834,0.162,0.004
0.913,0.083,0.004
0.965,0.033,0.002
0.873,0.124,0.003
0.977,0.021,0.002
0.963,0.035,0.002
0.955,0.043,0.002
0.802,0.193,0.005
0.789,0.204,0.006
0.932,0.064,0.004
0.962,0.035,0.003
0.65,0.345,0.005
0.808,0.187,0.005
0.976,0.022,0.002
0.876,0.121,0.003
0.988,0.009,0.002
0.917,0.079,0.003
0.953,0.045,0.002
0.974,0.024,0.002
0.86,0.138,0.003
0.919,0.078,0.003
0.607,0.389,0.004
0.859,0.138,0.003
0.566,0.428,0.005
0.914,0.084,0.002
0.946,0.051,0.002
0.865,0.131,0.004
0.914,0.084,0.002
0.954,0.043,0.003
0.959,0.039,0.002
0.952,0.044,0.004
0.474,0.522,0.003
0.946,0.052,0.002
0.977,0.022,0.002
0.71,0.285,0.006
0.904,0.092,0.004
0.932,0.065,0.003
0.91,0.087,0.003
0.926,0.072,0.003
0.95,0.048,0.002
0.504,0.488,0.008
0.499,0.494,0.007
0.977,0.022,0.002
0.8,0.195,0.005
0.941,0.056,0.003
0.963,0.035,0.001
0.951,0.046,0.003
0.977,0.021,0.002
0.892,0.105,0.002
0.974,0.023,0.002
0.856,0.138,0.006
0.938,0.059,0.002
0.897,0.096,0.006
0.721,0.275,0.004
0.976,0.021,0.003
0.741,0.253,0.006
0.983,0.014,0.003
0.943,0.055,0.002
0.573,0.423,0.004
0.686,0.31,0.004
0.159,0.742,0.099
0.902,0.095,0.003
0.899,0.098,0.002
0.958,0.039,0.003
0.831,0.166,0.003
0.806,0.19,0.004
0.932,0.065,0.003
0.172,0.821,0.008
0.941,0.056,0.003
0.951,0.047,0.002
0.944,0.053,0.003
0.735,0.261,0.004
0.639,0.355,0.006
0.891,0.105,0.003
0.938,0.059,0.003
0.772,0.225,0.003
0.889,0.109,0.003
0.946,0.051,0.002
0.945,0.054,0.002
0.659,0.337,0.004
0.946,0.053,0.002
0.859,0.138,0.003
0.919,0.078,0.002
0.538,0.458,0.004
0.965,0.033,0.002
0.497,0.497,0.006
0.826,0.169,0.005
0.689,0.304,0.007
0.825,0.171,0.004
0.962,0.035,0.003
0.851,0.146,0.003
0.849,0.147,0.004
0.917,0.08,0.003
0.769,0.226,0.005
0.866,0.131,0.003
0.966,0.032,0.002
0.328,0.668,0.005
0.883,0.114,0.003
0.909,0.085,0.006
0.448,0.544,0.008
0.95,0.048,0.002
0.957,0.041,0.002
0.487,0.507,0.006
0.332,0.657,0.011
0.723,0.273,0.004
0.937,0.061,0.002
0.748,0.248,0.005
0.908,0.089,0.003
0.906,0.092,0.002
0.983,0.015,0.002
0.622,0.373,0.005
0.938,0.06,0.002
0.977,0.021,0.002
0.877,0.12,0.003
0.483,0.513,0.005
0.87,0.127,0.003
0.486,0.51,0.004
0.872,0.126,0.002
0.584,0.41,0.006
0.897,0.1,0.003
0.904,0.093,0.003
0.88,0.117,0.004
0.959,0.039,0.003
0.493,0.503,0.005
0.89,0.106,0.003
0.961,0.037,0.002
0.72,0.277,0.003
0.954,0.043,0.003
0.945,0.053,0.002
0.928,0.069,0.003
0.948,0.05,0.002
0.946,0.052,0.002
0.966,0.032,0.003
0.762,0.234,0.004
0.825,0.172,0.003
0.95,0.047,0.003
0.69,0.306,0.004
0.644,0.352,0.004
0.892,0.105,0.003
0.943,0.054,0.002
0.961,0.035,0.004
0.738,0.259,0.003
0.847,0.15,0.004
0.876,0.122,0.002
0.73,0.266,0.004
0.884,0.112,0.004
0.919,0.078,0.004
0.806,0.19,0.004
0.906,0.091,0.003
0.944,0.054,0.003
0.84,0.156,0.004
0.925,0.072,0.003
0.954,0.043,0.002
0.952,0.044,0.004
0.878,0.118,0.003
0.961,0.037,0.002
0.917,0.081,0.002
0.595,0.398,0.007
0.361,0.632,0.007
0.962,0.036,0.002
0.967,0.03,0.003
0.963,0.035,0.003
0.766,0.231,0.003
0.885,0.111,0.004
0.964,0.033,0.003
0.779,0.217,0.004
0.722,0.273,0.004
0.97,0.026,0.004
0.931,0.066,0.002
0.879,0.118,0.003
0.931,0.066,0.003
0.923,0.074,0.003
0.949,0.049,0.002
0.968,0.03,0.003
0.947,0.051,0.003
0.716,0.279,0.005
0.639,0.356,0.005
0.97,0.027,0.002
0.937,0.062,0.002
0.91,0.087,0.003
0.762,0.233,0.005
0.983,0.015,0.002
0.941,0.057,0.002
0.63,0.365,0.005
0.894,0.102,0.004
0.93,0.066,0.003
0.427,0.567,0.006
0.92,0.077,0.003
0.982,0.015,0.003
0.644,0.351,0.004
0.973,0.025,0.002
0.942,0.055,0.002
0.953,0.045,0.002
0.79,0.205,0.005
0.834,0.163,0.003
0.828,0.168,0.003
0.918,0.079,0.003
0.981,0.017,0.002
0.932,0.064,0.003
0.856,0.131,0.013
0.959,0.039,0.002
0.935,0.063,0.002
0.957,0.039,0.003
0.152,0.749,0.099
0.88,0.118,0.003
0.471,0.524,0.005
0.856,0.14,0.004
0.118,0.869,0.014
0.922,0.075,0.003
0.858,0.139,0.003
0.962,0.035,0.002
0.88,0.112,0.008
0.931,0.066,0.003
0.964,0.034,0.002
0.957,0.04,0.003
0.929,0.068,0.002
0.357,0.637,0.006
0.11,0.866,0.024
0.871,0.125,0.004
0.962,0.035,0.003
0.912,0.085,0.003
0.857,0.137,0.006
0.962,0.035,0.003
0.765,0.229,0.005
0.928,0.069,0.003
0.8,0.194,0.005
0.894,0.103,0.002
0.881,0.116,0.003
0.969,0.029,0.002
0.961,0.036,0.003
0.849,0.147,0.004
0.835,0.163,0.002
0.978,0.02,0.002
0.828,0.168,0.004
0.81,0.187,0.003
0.949,0.049,0.002
0.914,0.083,0.003
0.917,0.08,0.002
0.723,0.272,0.005
0.849,0.149,0.002
0.73,0.266,0.004
0.785,0.211,0.005
0.272,0.72,0.008
0.906,0.091,0.003
0.892,0.104,0.004
0.948,0.05,0.002
0.963,0.035,0.002
0.79,0.205,0.005
0.331,0.663,0.006
0.96,0.038,0.003
0.917,0.079,0.004
0.898,0.099,0.003
0.733,0.262,0.004
0.977,0.021,0.001
0.852,0.145,0.003
0.588,0.405,0.007
0.983,0.014,0.002
0.896,0.101,0.003
0.915,0.082,0.003
0.404,0.578,0.019
0.161,0.749,0.09
0.889,0.106,0.005
0.499,0.493,0.008
0.96,0.039,0.002
0.872,0.124,0.004
0.932,0.066,0.003
0.779,0.216,0.005
0.868,0.129,0.002
0.964,0.033,0.003
0.931,0.067,0.002
0.957,0.041,0.002
0.842,0.155,0.003
0.973,0.024,0.002
0.969,0.029,0.002
0.939,0.058,0.002
0.902,0.096,0.002
0.788,0.209,0.003
0.974,0.024,0.002
0.887,0.111,0.002
0.7,0.295,0.005
0.103,0.857,0.04
0.984,0.014,0.003
0.922,0.076,0.003
0.921,0.076,0.003
0.961,0.036,0.002
0.956,0.042,0.002
0.897,0.1,0.003
0.891,0.106,0.003
0.963,0.035,0.002
0.923,0.073,0.004
0.716,0.28,0.005
0.977,0.021,0.002
0.982,0.016,0.002
0.962,0.036,0.002
0.937,0.059,0.004
0.963,0.035,0.002
0.786,0.211,0.003
0.893,0.103,0.004
0.073,0.918,0.009
0.868,0.13,0.003
0.89,0.107,0.002
0.868,0.129,0.003
0.976,0.021,0.002
0.621,0.375,0.004
0.932,0.066,0.002
0.933,0.064,0.003
0.934,0.064,0.002
0.736,0.259,0.005
0.717,0.28,0.003
0.889,0.108,0.003
0.852,0.143,0.005
0.943,0.055,0.002
0.831,0.166,0.003
0.934,0.063,0.002
0.968,0.029,0.003
0.699,0.297,0.004
0.762,0.235,0.003
0.91,0.088,0.002
0.873,0.124,0.003
0.581,0.413,0.006
0.928,0.068,0.004
0.165,0.794,0.041
0.932,0.066,0.002
0.918,0.079,0.003
0.907,0.09,0.004
0.794,0.202,0.005
0.863,0.135,0.002
0.956,0.042,0.002
0.757,0.239,0.004
0.948,0.049,0.002
0.962,0.035,0.003
0.918,0.079,0.003
0.957,0.041,0.002
0.888,0.109,0.003
0.939,0.058,0.003
0.882,0.115,0.003
0.721,0.275,0.004
0.948,0.05,0.002
0.292,0.704,0.004
0.956,0.042,0.002
0.78,0.214,0.005
0.711,0.285,0.004
0.942,0.056,0.002
0.303,0.691,0.005
0.932,0.065,0.003
0.98,0.017,0.003
0.87,0.127,0.004
0.114,0.816,0.069
0.963,0.035,0.002
0.962,0.036,0.002
0.905,0.091,0.004
0.96,0.037,0.003
0.696,0.301,0.003
0.953,0.045,0.003
0.978,0.02,0.002
0.955,0.042,0.002
0.955,0.043,0.002
0.886,0.112,0.003
0.898,0.1,0.002
0.95,0.047,0.003
0.885,0.111,0.004
0.68,0.314,0.006
0.58,0.417,0.003
0.847,0.15,0.003
0.034,0.87,0.097
0.97,0.027,0.002
0.819,0.177,0.004
0.942,0.055,0.003
0.95,0.047,0.002
0.854,0.143,0.003
0.91,0.086,0.004
0.949,0.049,0.002
0.678,0.316,0.006
0.902,0.095,0.003
0.882,0.113,0.004
0.936,0.06,0.004
0.138,0.854,0.008
0.934,0.064,0.002
0.956,0.043,0.002
0.838,0.159,0.004
0.94,0.055,0.005
0.89,0.108,0.002
0.833,0.164,0.003
0.819,0.179,0.002
0.848,0.149,0.002
0.91,0.087,0.003
0.245,0.748,0.008
0.561,0.434,0.005
0.83,0.165,0.005
0.534,0.459,0.007
0.824,0.173,0.003
0.968,0.03,0.002
0.955,0.043,0.002
0.911,0.086,0.002
0.959,0.038,0.003
0.966,0.032,0.003
0.946,0.051,0.002
0.95,0.048,0.002
0.966,0.031,0.003
0.869,0.127,0.004
0.913,0.085,0.002
0.91,0.087,0.003
0.96,0.037,0.003
0.972,0.026,0.002
0.627,0.37,0.003
0.924,0.074,0.002
0.595,0.392,0.013
0.838,0.159,0.003
0.795,0.2,0.005
0.93,0.067,0.002
0.114,0.822,0.065
0.901,0.096,0.003
0.886,0.109,0.005
0.939,0.059,0.003
0.978,0.019,0.004
0.697,0.299,0.004
0.954,0.043,0.002
0.079,0.859,0.062
0.951,0.047,0.002
0.782,0.215,0.003
0.96,0.038,0.002
0.973,0.025,0.002
0.938,0.06,0.002
0.884,0.113,0.003
0.946,0.052,0.002
0.957,0.041,0.002
0.523,0.472,0.006
0.841,0.156,0.003
0.965,0.031,0.004
0.978,0.019,0.003
0.886,0.11,0.004
0.975,0.023,0.002
0.138,0.765,0.097
0.935,0.062,0.003
0.956,0.042,0.002
0.901,0.096,0.002
0.789,0.208,0.003
0.942,0.055,0.002
0.901,0.097,0.002
0.979,0.018,0.002
0.962,0.036,0.002
0.787,0.209,0.004
0.933,0.065,0.002
0.961,0.037,0.002
0.955,0.042,0.003
0.475,0.521,0.004
0.914,0.083,0.003
0.973,0.025,0.002
0.971,0.026,0.003
0.807,0.19,0.003
0.68,0.315,0.006
0.963,0.035,0.002
0.914,0.082,0.004
0.716,0.28,0.004
0.805,0.191,0.004
0.92,0.078,0.003
0.866,0.13,0.004
0.353,0.623,0.024
0.94,0.058,0.002
0.713,0.284,0.003
0.737,0.257,0.005
0.865,0.132,0.003
0.947,0.049,0.003
0.721,0.272,0.007
0.845,0.153,0.003
0.533,0.459,0.008
0.926,0.071,0.003
0.824,0.172,0.003
0.949,0.05,0.002
0.92,0.077,0.002
0.959,0.039,0.002
0.972,0.026,0.002
0.932,0.065,0.003
0.754,0.243,0.003
0.845,0.152,0.003
0.833,0.165,0.003
0.772,0.224,0.004
0.641,0.354,0.005
0.626,0.369,0.004
0.936,0.061,0.002
0.655,0.341,0.004
0.942,0.055,0.002
0.903,0.094,0.003
0.926,0.072,0.003
0.965,0.033,0.002
0.88,0.118,0.003
0.897,0.101,0.002
0.875,0.121,0.004
0.964,0.033,0.003
0.71,0.284,0.006
0.912,0.085,0.003
0.932,0.064,0.005
0.978,0.02,0.002
0.952,0.045,0.003
0.924,0.072,0.004
0.973,0.025,0.002
0.933,0.064,0.003
0.763,0.233,0.005
0.893,0.102,0.004
0.949,0.049,0.002
0.784,0.213,0.003
0.93,0.068,0.002
0.962,0.036,0.002
0.737,0.259,0.005
0.931,0.067,0.002
0.511,0.484,0.006
0.128,0.866,0.005
0.882,0.115,0.003
0.875,0.121,0.004
0.938,0.058,0.004
0.981,0.017,0.002
0.786,0.21,0.004
0.886,0.111,0.003
0.775,0.22,0.005
0.919,0.077,0.005
0.932,0.064,0.004
0.962,0.036,0.002
0.913,0.085,0.003
0.841,0.156,0.003
0.71,0.285,0.005
0.585,0.408,0.007
0.693,0.303,0.004
0.439,0.554,0.006
0.131,0.783,0.086
0.542,0.454,0.004
0.793,0.202,0.005
0.78,0.216,0.004
0.96,0.037,0.003
0.926,0.071,0.003
0.905,0.091,0.004
0.96,0.037,0.003
0.927,0.07,0.003
0.96,0.038,0.002
0.941,0.057,0.003
0.958,0.039,0.002
0.927,0.07,0.003
0.712,0.283,0.005
0.553,0.44,0.007
0.983,0.014,0.003
0.927,0.07,0.003
0.969,0.029,0.002
0.825,0.172,0.004
0.775,0.221,0.004
0.604,0.392,0.004
0.987,0.011,0.002
0.937,0.061,0.002
0.953,0.045,0.002
0.955,0.042,0.003
0.986,0.011,0.003
0.423,0.571,0.005
0.612,0.384,0.004
0.62,0.377,0.003
0.963,0.035,0.002
0.921,0.076,0.003
0.706,0.289,0.004
0.956,0.042,0.002
0.82,0.177,0.003
0.98,0.018,0.002
0.845,0.152,0.003
0.948,0.05,0.002
0.741,0.254,0.005
0.547,0.447,0.006
0.699,0.296,0.005
0.755,0.242,0.003
0.933,0.064,0.003
0.807,0.188,0.004
0.787,0.21,0.003
0.975,0.023,0.002
0.924,0.074,0.002
0.964,0.033,0.003
0.94,0.054,0.006
0.924,0.074,0.002
0.749,0.247,0.003
0.652,0.343,0.005
0.939,0.059,0.002
0.891,0.106,0.003
0.963,0.035,0.002
0.977,0.021,0.002
0.364,0.632,0.004
0.943,0.055,0.002
0.948,0.05,0.002
0.36,0.634,0.005
0.654,0.339,0.007
0.636,0.36,0.004
0.345,0.645,0.01
0.9,0.097,0.003
0.961,0.037,0.002
0.826,0.17,0.005
0.9,0.097,0.003
0.664,0.33,0.006
0.914,0.084,0.002
0.929,0.068,0.003
0.281,0.713,0.007
0.979,0.018,0.002
0.897,0.099,0.004
0.904,0.093,0.003
0.519,0.475,0.006
0.8,0.196,0.004
0.863,0.133,0.004
0.914,0.083,0.003
0.919,0.077,0.004
0.955,0.042,0.002
0.882,0.114,0.004
0.919,0.078,0.002
0.976,0.022,0.002
0.916,0.081,0.003
0.719,0.274,0.007
0.79,0.205,0.006
0.95,0.047,0.003
0.748,0.247,0.005
0.97,0.027,0.003
0.952,0.045,0.003
0.914,0.084,0.002
0.884,0.113,0.003
0.935,0.061,0.003
0.914,0.083,0.003
0.862,0.135,0.003
0.221,0.77,0.009
0.476,0.521,0.004
0.385,0.611,0.004
0.778,0.219,0.003
0.923,0.074,0.002
0.896,0.098,0.006
0.744,0.252,0.004
0.96,0.037,0.003
0.962,0.035,0.003
0.973,0.025,0.002
0.89,0.106,0.004
0.974,0.024,0.002
0.914,0.083,0.003
0.328,0.668,0.005
0.915,0.082,0.003
0.897,0.101,0.003
0.944,0.053,0.003
0.935,0.063,0.002
0.654,0.343,0.004
0.96,0.038,0.002
0.903,0.094,0.003
0.804,0.191,0.005
0.953,0.045,0.002
0.412,0.584,0.004
0.464,0.531,0.005
0.922,0.076,0.002
0.917,0.081,0.002
0.959,0.039,0.002
0.477,0.517,0.006
0.907,0.088,0.004
0.963,0.034,0.003
0.878,0.119,0.003
0.97,0.027,0.002
0.817,0.164,0.019
0.931,0.067,0.002
0.973,0.025,0.002
0.948,0.05,0.002
0.978,0.019,0.003
0.068,0.925,0.007
0.906,0.091,0.003
0.93,0.067,0.004
0.923,0.074,0.002
0.971,0.027,0.002
0.946,0.052,0.002
0.812,0.184,0.005
0.905,0.091,0.004
0.805,0.192,0.003
0.953,0.045,0.002
0.853,0.144,0.003
0.967,0.031,0.002
0.749,0.245,0.005
0.928,0.069,0.003
0.958,0.039,0.003
0.9,0.097,0.003
0.203,0.774,0.023
0.551,0.445,0.005
0.977,0.021,0.002
0.884,0.112,0.004
0.895,0.102,0.003
0.18,0.813,0.007
0.844,0.152,0.004
0.88,0.116,0.004
0.919,0.078,0.003
0.884,0.112,0.003
0.975,0.022,0.003
0.898,0.1,0.003
0.937,0.059,0.004
0.925,0.072,0.003
0.932,0.065,0.003
0.117,0.298,0.585
0.936,0.062,0.002
0.826,0.172,0.003
0.572,0.42,0.008
0.727,0.269,0.004
0.962,0.036,0.002
0.796,0.2,0.004
0.777,0.215,0.008
0.879,0.117,0.003
0.947,0.051,0.003
0.587,0.406,0.006
0.458,0.535,0.008
0.532,0.462,0.006
0.887,0.111,0.003
0.803,0.194,0.003
0.963,0.034,0.003
0.948,0.048,0.004
0.754,0.242,0.004
0.894,0.104,0.002
0.668,0.328,0.004
0.518,0.478,0.005
0.955,0.043,0.002
0.965,0.033,0.002
0.751,0.245,0.004
0.701,0.294,0.005
0.964,0.033,0.002
0.971,0.027,0.003
0.787,0.21,0.003
0.971,0.027,0.002
0.978,0.02,0.002
0.895,0.103,0.002
0.942,0.054,0.003
0.862,0.134,0.004
0.891,0.106,0.003
0.569,0.424,0.007
0.885,0.113,0.002
0.297,0.698,0.005
0.102,0.846,0.052
0.977,0.021,0.003
0.923,0.074,0.002
0.162,0.764,0.074
0.946,0.051,0.003
0.945,0.053,0.002
0.704,0.293,0.003
0.955,0.043,0.002
0.841,0.156,0.004
0.938,0.059,0.003
0.934,0.063,0.003
0.928,0.07,0.002
0.93,0.067,0.003
0.966,0.032,0.002
0.9,0.097,0.003
0.932,0.066,0.002
0.927,0.07,0.003
0.564,0.43,0.007
0.967,0.031,0.002
0.841,0.156,0.003
0.908,0.088,0.004
0.964,0.033,0.003
0.864,0.132,0.004
0.783,0.213,0.004
0.957,0.039,0.004
0.858,0.139,0.003
0.948,0.05,0.002
0.449,0.546,0.006
0.308,0.682,0.01
0.894,0.103,0.003
0.83,0.166,0.004
0.929,0.067,0.003
0.943,0.055,0.002
0.657,0.338,0.005
0.834,0.162,0.004
0.954,0.044,0.002
0.954,0.043,0.003
0.899,0.099,0.002
0.965,0.032,0.003
0.966,0.033,0.001
0.872,0.124,0.004
0.649,0.345,0.006
0.217,0.774,0.009
0.923,0.074,0.004
0.887,0.109,0.004
0.675,0.32,0.005
0.98,0.018,0.002
0.962,0.035,0.002
0.889,0.108,0.003
0.807,0.188,0.005
0.913,0.084,0.003
0.954,0.043,0.003
0.875,0.121,0.004
0.845,0.153,0.003
0.877,0.119,0.004
0.024,0.529,0.447
0.931,0.066,0.003
0.944,0.053,0.002
0.94,0.056,0.004
0.142,0.788,0.07
0.978,0.02,0.002
0.89,0.105,0.006
0.956,0.042,0.002
0.222,0.772,0.006
0.943,0.055,0.003
0.949,0.049,0.003
0.746,0.248,0.006
0.926,0.07,0.003
0.804,0.192,0.004
0.954,0.044,0.002
0.863,0.134,0.003
0.974,0.023,0.002
0.846,0.151,0.003
0.925,0.073,0.002
0.816,0.181,0.003
0.895,0.102,0.003
0.397,0.596,0.007
0.941,0.056,0.002
0.945,0.052,0.002
0.978,0.019,0.003
0.809,0.188,0.003
0.934,0.061,0.004
0.975,0.021,0.004
0.951,0.046,0.003
0.802,0.195,0.003
0.964,0.034,0.002
0.956,0.042,0.003
0.979,0.018,0.003
0.965,0.033,0.002
0.943,0.055,0.002
0.978,0.02,0.002
0.967,0.03,0.002
0.288,0.708,0.004
0.901,0.096,0.003
0.89,0.107,0.003
0.375,0.57,0.055
0.883,0.107,0.01
0.961,0.037,0.002
0.855,0.142,0.003
0.895,0.101,0.004
0.803,0.192,0.006
0.979,0.019,0.002
0.917,0.08,0.003
0.955,0.042,0.003
0.959,0.038,0.003
0.905,0.092,0.003
0.258,0.731,0.011
0.66,0.335,0.004
0.764,0.233,0.004
0.9,0.096,0.003
0.787,0.208,0.005
0.943,0.054,0.003
0.821,0.176,0.004
0.541,0.451,0.008
0.979,0.019,0.002
0.966,0.031,0.003
0.9,0.097,0.003
0.941,0.057,0.002
0.922,0.073,0.005
0.803,0.194,0.003
0.973,0.025,0.002
0.933,0.064,0.002
0.744,0.252,0.004
0.953,0.043,0.003
0.957,0.041,0.003
0.124,0.793,0.083
0.87,0.127,0.003
0.923,0.074,0.003
0.891,0.106,0.003
0.858,0.14,0.003
0.477,0.518,0.005
0.976,0.023,0.002
0.973,0.026,0.002
0.92,0.077,0.003
0.935,0.063,0.003
0.936,0.062,0.002
0.391,0.603,0.006
0.951,0.046,0.002
0.958,0.04,0.002
0.794,0.201,0.005
0.932,0.065,0.003
0.976,0.022,0.002
0.458,0.538,0.004
0.95,0.048,0.003
0.942,0.054,0.003
0.842,0.155,0.003
0.798,0.197,0.005
0.962,0.035,0.003
0.965,0.032,0.002
0.946,0.052,0.002
0.937,0.06,0.003
0.861,0.136,0.004
0.906,0.092,0.002
0.938,0.056,0.006
0.93,0.067,0.003
0.958,0.04,0.003
0.837,0.16,0.003
0.875,0.123,0.003
0.894,0.103,0.002
0.947,0.05,0.003
0.387,0.606,0.008
0.841,0.156,0.003
0.197,0.797,0.006
0.932,0.065,0.003
0.53,0.462,0.008
0.965,0.032,0.003
0.886,0.111,0.002
0.983,0.014,0.003
0.644,0.352,0.004
0.98,0.018,0.002
0.959,0.039,0.002
0.951,0.046,0.003
0.207,0.787,0.006
0.81,0.188,0.002
0.633,0.363,0.005
0.928,0.069,0.003
0.937,0.061,0.002
0.828,0.169,0.003
0.915,0.081,0.004
0.961,0.038,0.002
0.894,0.102,0.004
0.986,0.011,0.003
0.146,0.761,0.093
0.906,0.091,0.003
0.833,0.164,0.004
0.925,0.073,0.002
0.56,0.437,0.003
0.33,0.664,0.006
0.584,0.41,0.006
0.83,0.166,0.003
0.529,0.467,0.004
0.944,0.054,0.003
0.127,0.868,0.005
0.738,0.256,0.006
0.958,0.039,0.004
0.934,0.063,0.002
0.579,0.416,0.005
0.96,0.037,0.003
0.792,0.2,0.008
0.938,0.058,0.004
0.766,0.23,0.004
