positive,neutral,negative
0.897,0.1,0.003
0.957,0.04,0.003
0.466,0.528,0.006
0.675,0.321,0.004
0.654,0.337,0.009
0.805,0.192,0.003
0.748,0.247,0.005
0.983,0.016,0.002
0.965,0.033,0.003
0.911,0.087,0.002
0.654,0.341,0.006
0.956,0.04,0.004
0.922,0.075,0.003
0.973,0.025,0.002
0.287,0.702,0.011
0.907,0.09,0.004
0.94,0.058,0.002
0.643,0.352,0.005
0.851,0.146,0.003
0.872,0.124,0.004
0.789,0.208,0.004
0.97,0.027,0.002
0.351,0.644,0.005
0.907,0.091,0.003
0.911,0.087,0.003
0.959,0.039,0.003
0.825,0.171,0.004
0.73,0.265,0.004
0.905,0.092,0.003
0.841,0.157,0.003
0.932,0.066,0.002
0.858,0.139,0.003
0.957,0.041,0.002
0.905,0.092,0.002
0.956,0.042,0.002
0.866,0.131,0.003
0.908,0.09,0.002
0.872,0.121,0.006
0.96,0.038,0.002
0.979,0.019,0.002
0.909,0.086,0.004
0.867,0.13,0.003
0.953,0.043,0.004
0.936,0.061,0.002
0.312,0.681,0.007
0.937,0.06,0.003
0.977,0.021,0.002
0.865,0.131,0.004
0.225,0.768,0.008
0.961,0.037,0.002
0.865,0.132,0.003
0.961,0.036,0.002
0.969,0.029,0.002
0.886,0.11,0.004
0.752,0.245,0.003
0.48,0.517,0.004
0.919,0.078,0.004
0.827,0.168,0.004
0.967,0.031,0.003
0.887,0.109,0.004
0.775,0.221,0.004
0.954,0.044,0.003
0.947,0.05,0.003
0.947,0.051,0.002
0.166,0.803,0.031
0.912,0.085,0.002
0.126,0.857,0.017
0.908,0.089,0.002
0.289,0.698,0.013
0.52,0.474,0.006
0.925,0.072,0.003
0.558,0.436,0.007
0.752,0.244,0.004
0.931,0.065,0.004
0.914,0.082,0.004
0.967,0.031,0.002
0.661,0.319,0.02
0.812,0.184,0.004
0.721,0.274,0.005
0.784,0.212,0.004
0.947,0.051,0.002
0.848,0.148,0.004
0.502,0.493,0.005
0.958,0.039,0.002
0.895,0.101,0.004
0.953,0.045,0.002
0.981,0.017,0.002
0.162,0.803,0.035
0.949,0.049,0.003
0.817,0.18,0.003
0.904,0.093,0.003
0.876,0.119,0.004
0.92,0.078,0.003
0.97,0.029,0.002
0.078,0.769,0.153
0.478,0.512,0.01
0.948,0.049,0.003
0.949,0.048,0.003
0.855,0.142,0.002
0.371,0.622,0.007
0.935,0.062,0.002
0.791,0.206,0.003
0.975,0.023,0.002
0.94,0.057,0.003
0.114,0.88,0.007
0.132,0.861,0.007
0.843,0.153,0.004
0.898,0.1,0.003
0.873,0.119,0.008
0.959,0.037,0.004
0.777,0.218,0.006
0.945,0.053,0.002
0.702,0.293,0.005
0.815,0.182,0.003
0.855,0.141,0.003
0.942,0.055,0.003
0.972,0.025,0.003
0.879,0.116,0.005
0.939,0.058,0.003
0.962,0.035,0.003
0.134,0.771,0.095
0.914,0.084,0.003
0.769,0.227,0.004
0.736,0.26,0.005
0.947,0.05,0.003
0.899,0.099,0.002
0.866,0.129,0.005
0.926,0.07,0.004
0.954,0.044,0.003
0.561,0.434,0.005
0.869,0.126,0.005
0.924,0.073,0.003
0.471,0.525,0.004
0.966,0.032,0.002
0.84,0.157,0.003
0.96,0.038,0.002
0.864,0.133,0.003
0.978,0.02,0.002
0.668,0.328,0.004
0.929,0.065,0.006
0.864,0.133,0.003
0.942,0.056,0.002
0.946,0.052,0.003
0.929,0.068,0.003
0.94,0.057,0.003
